"id","syear","x","y"
67570,2000,32578665.003,5944268.965
67570,2001,32578665.003,5944268.965
67570,2002,32578665.003,5944268.965
67570,2003,32578665.003,5944268.965
67570,2004,32578665.003,5944268.965
67570,2005,32578665.003,5944268.965
67570,2006,32578665.003,5944268.965
67570,2007,32578665.003,5944268.965
67570,2008,32578665.003,5944268.965
67570,2009,32578665.003,5944268.965
67570,2010,32578665.003,5944268.965
67570,2011,32578665.003,5944268.965
67570,2012,32578665.003,5944268.965
67570,2013,32578665.003,5944268.965
67570,2014,32578665.003,5944268.965
67570,2015,32578665.003,5944268.965
67570,2016,32578665.003,5944268.965
67570,2017,32578665.003,5944268.965
67570,2018,32578665.003,5944268.965
67570,2019,32578665.003,5944268.965
67570,2020,32578665.003,5944268.965
67570,2021,32550757.087,5938122.846
48936,2005,32560780.28,5939488.921
48936,2006,32560780.28,5939488.921
48936,2007,32560780.28,5939488.921
48936,2008,32560780.28,5939488.921
48936,2009,32560780.28,5939488.921
48936,2010,32560780.28,5939488.921
48936,2011,32560780.28,5939488.921
48936,2012,32560780.28,5939488.921
48936,2013,32560780.28,5939488.921
48936,2014,32560780.28,5939488.921
48936,2015,32560780.28,5939488.921
48936,2016,32560780.28,5939488.921
48936,2017,32560780.28,5939488.921
48936,2018,32560780.28,5939488.921
48936,2019,32560780.28,5939488.921
48936,2020,32560780.28,5939488.921
49798,2000,32576147.094,5946339.232
49798,2001,32576147.094,5946339.232
49798,2002,32576147.094,5946339.232
49798,2003,32576147.094,5946339.232
49798,2004,32576147.094,5946339.232
49798,2005,32576147.094,5946339.232
49798,2006,32576147.094,5946339.232
49798,2007,32576147.094,5946339.232
49798,2008,32576147.094,5946339.232
11574,2000,32569189.244,5939025.62
11574,2001,32569189.244,5939025.62
11574,2002,32569189.244,5939025.62
11574,2003,32569189.244,5939025.62
11574,2004,32569189.244,5939025.62
11574,2005,32569189.244,5939025.62
11574,2006,32569189.244,5939025.62
11574,2007,32569189.244,5939025.62
11574,2008,32569189.244,5939025.62
11574,2009,32569189.244,5939025.62
11574,2010,32569189.244,5939025.62
50504,2000,32576113.639,5939758.453
50504,2001,32576113.639,5939758.453
50504,2002,32576113.639,5939758.453
50504,2003,32576113.639,5939758.453
50504,2004,32574204.533,5938688.395
50504,2005,32574204.533,5938688.395
50504,2006,32574204.533,5938688.395
50504,2007,32574204.533,5938688.395
50504,2008,32574204.533,5938688.395
50504,2009,32574204.533,5938688.395
84266,2000,32576006.75,5945758.026
84266,2001,32576006.75,5945758.026
84266,2002,32576006.75,5945758.026
84266,2003,32576006.75,5945758.026
84266,2004,32576006.75,5945758.026
84266,2005,32576006.75,5945758.026
84266,2006,32576006.75,5945758.026
84266,2007,32576006.75,5945758.026
84266,2008,32576006.75,5945758.026
84266,2009,32576006.75,5945758.026
84266,2010,32576006.75,5945758.026
84266,2011,32576006.75,5945758.026
84266,2012,32576006.75,5945758.026
84266,2013,32576006.75,5945758.026
84266,2014,32576006.75,5945758.026
84266,2015,32575692.299,5937682.956
41759,2000,32558552.665,5931617.248
41759,2001,32558552.665,5931617.248
41759,2002,32558552.665,5931617.248
41759,2003,32558552.665,5931617.248
41759,2004,32558552.665,5931617.248
22121,2000,32573468.413,5939977.197
22121,2001,32573468.413,5939977.197
22121,2002,32573468.413,5939977.197
22121,2003,32573468.413,5939977.197
22121,2004,32573468.413,5939977.197
35693,2000,32563317.481,5935174.16
35693,2001,32563317.481,5935174.16
35693,2002,32563317.481,5935174.16
35693,2003,32563317.481,5935174.16
35693,2004,32563317.481,5935174.16
35693,2005,32563317.481,5935174.16
35693,2006,32563317.481,5935174.16
38217,2000,32565803.299,5921186.242
38217,2001,32565803.299,5921186.242
38217,2002,32565803.299,5921186.242
38217,2003,32565803.299,5921186.242
38217,2004,32565803.299,5921186.242
38217,2005,32565803.299,5921186.242
38217,2006,32565803.299,5921186.242
38217,2007,32565803.299,5921186.242
38217,2008,32565803.299,5921186.242
38217,2009,32565803.299,5921186.242
38217,2010,32565803.299,5921186.242
38217,2011,32565803.299,5921186.242
